pool,startHeight,endHeight,seqLength,observed,expected,stdDev,deviations
AntPool,408056,407957,4,1,0.149,0.36441597110993607,2.335243423629401
F2Pool,407956,407857,2,4,1.525,1.0341058939973202,2.393371911297136
F2Pool,407656,407557,5,1,0.152,0.3672819080760722,2.3088531761394586
AntPool,407256,407157,5,1,0.11,0.3192177939902477,2.7880651290610388
AntPool,407056,406957,5,1,0.152,0.3672819080760722,2.3088531761394586
AntPool,406856,406757,2,7,3.676,1.5902905394927043,2.0901840999823476
AntPool,406656,406557,4,1,0.175,0.3979635661715768,2.073054093711463
AntPool,406556,406457,5,1,0.063,0.24296296014001764,3.8565549228574363
F2Pool,406556,406457,1,7,14.173,2.930711688310529,2.4475283695118533
F2Pool,406556,406457,3,4,0.631,0.720304796596556,4.677186679747994
AntPool,406456,406357,4,2,0.386,0.5753294708251995,2.80534907708626
F2Pool,406256,406157,4,1,0.175,0.3979635661715768,2.073054093711463
F2Pool,406056,405957,4,2,0.386,0.5753294708251995,2.80534907708626
AntPool,405656,405557,2,6,3.074,1.424964560962832,2.0533843999761903
AntPool,405556,405457,4,1,0.175,0.3979635661715768,2.073054093711463
AntPool,405456,405357,5,1,0.172,0.38783501646963275,2.134928422753266
F2Pool,405356,405257,2,6,3.074,1.424964560962832,2.0533843999761903
AntPool,405256,405157,2,0,4.44,1.7200000000000006,2.5813953488372086
AntPool,405256,405157,4,2,0.349,0.5433221880247509,3.038712639368207
F2Pool,405256,405157,1,8,15.124,3.1702719126283134,2.247125860599714
F2Pool,405256,405157,3,5,1.12,0.913016976841072,4.249647157081711
F2Pool,405256,405157,5,1,0.099,0.30528511264062674,2.951339461680965
AntPool,405056,404957,2,9,5.001,1.8468890058690497,2.1652627674386307
AntPool,404756,404657,3,4,1.432,1.0379672441845196,2.474066512587835
AntPool,404256,404157,2,5,2.307,1.2476982808355528,2.1583743773346904
AntPool,404156,404057,5,1,0.074,0.26177089219392025,3.5374444891069783
AntPool,403856,403757,2,1,4.61,1.7366346766087557,2.07873310870971
AntPool,403856,403757,7,1,0.007,0.08337265738837878,11.91037962691127
F2Pool,403856,403757,4,1,0.126,0.33184936341659815,2.6337251064809033
F2Pool,403656,403557,1,20,13.906,2.912243808474835,2.0925445810086467
AntPool,403156,403057,4,1,0.149,0.36441597110993607,2.335243423629401
AntPool,402756,402657,2,0,3.074,1.424964560962832,2.1572466321007546
F2Pool,402756,402657,5,1,0.152,0.3672819080760722,2.3088531761394586
AntPool,402656,402557,5,1,0.051,0.21999772726098624,4.313680926686068
AntPool,402556,402457,5,1,0.074,0.26177089219392025,3.5374444891069783
AntPool,402356,402257,6,1,0.024,0.15304901175767163,6.377042156569676
F2Pool,402356,402257,1,22,13.906,2.912243808474835,2.779300268901212
F2Pool,402356,402257,2,0,2.864,1.3753195992204859,2.082425060780985
AntPool,402156,402057,1,21,14.353,2.978655904934309,2.2315434250021546
AntPool,402156,402057,2,0,3.289,1.487104233065058,2.211680880782022
AntPool,401656,401557,2,7,3.289,1.487104233065058,2.495453860924926
F2Pool,401656,401557,4,1,0.083,0.27588222124667744,3.3238821836948795
F2Pool,401556,401457,3,3,1.041,0.8713891208868703,2.248134562440023
F2Pool,401256,401157,3,6,1.613,1.1310309456420755,3.878762130163947
AntPool,400956,400857,4,1,0.149,0.36441597110993607,2.335243423629401
F2Pool,400956,400857,4,2,0.227,0.44662176391214753,3.9698020635392877
AntPool,400756,400657,3,2,0.506,0.6480462946425937,2.305390853016082
AntPool,400656,400557,1,5,11.196,2.221617428811726,2.7889590348208815
AntPool,400656,400557,3,2,0.213,0.43546641661556096,4.1036459571062665
F2Pool,400456,400357,3,2,0.566,0.6940057636648278,2.0662652604316913
AntPool,400156,400057,4,1,0.175,0.3979635661715768,2.073054093711463
F2Pool,400056,399957,3,4,1.613,1.1310309456420755,2.1104639171874497
AntPool,399956,399857,4,1,0.149,0.36441597110993607,2.335243423629401
AntPool,399656,399557,1,27,15.124,3.1702719126283134,3.7460509152838575
F2Pool,399656,399557,3,2,0.506,0.6480462946425937,2.305390853016082
F2Pool,399556,399457,3,3,1.12,0.913016976841072,2.0591073853901074
F2Pool,399456,399357,4,1,0.083,0.27588222124667744,3.3238821836948795
AntPool,398756,398657,3,2,0.566,0.6940057636648278,2.0662652604316913
AntPool,398756,398657,4,1,0.126,0.33184936341659815,2.6337251064809033
F2Pool,398756,398657,4,2,0.197,0.4197511167346645,4.295402509053294
AntPool,398556,398457,5,1,0.084,0.28096974926137486,3.260137443294232
F2Pool,398556,398457,3,3,0.871,0.8126247596523289,2.619905404938517
F2Pool,398456,398357,3,3,0.713,0.7554012178968255,3.0275301996036283
F2Pool,397956,397857,2,7,3.676,1.5902905394927043,2.0901840999823476
F2Pool,397856,397757,6,1,0.17,0.39382737335029994,2.1075223718939795
AntPool,397356,397257,2,4,1.71,1.1053958566956905,2.0716560371823656
AntPool,397156,397056,3,1,0.164,0.3835413928117758,2.1796865101605074
AntPool,396652,396554,4,1,0.104,0.30526054445342393,2.9351975428213586
AntPool,396353,396254,2,8,3.676,1.5902905394927043,2.719000014537807
F2Pool,396253,396154,6,1,0.014,0.11749042514179757,8.392173224413906
AntPool,395753,395654,3,4,1.233,0.9490579539733142,2.9155226911230367
F2Pool,395253,395154,2,0,3.074,1.424964560962832,2.1572466321007546
AntPool,394853,394754,3,3,0.713,0.7554012178968255,3.0275301996036283
F2Pool,394553,394454,4,1,0.175,0.3979635661715768,2.073054093711463
F2Pool,394353,394254,4,1,0.083,0.27588222124667744,3.3238821836948795
AntPool,394053,393954,2,0,3.676,1.5902905394927043,2.3115273019058695
AntPool,393553,393454,5,1,0.11,0.3192177939902477,2.7880651290610388
F2Pool,393553,393454,1,8,13.906,2.912243808474835,2.027989546346746
F2Pool,393553,393454,4,1,0.126,0.33184936341659815,2.6337251064809033
AntPool,393453,393354,5,1,0.099,0.30528511264062674,2.951339461680965
F2Pool,393253,393154,3,3,0.796,0.793967253732793,2.775933125249204
AntPool,393153,393054,5,1,0.051,0.21999772726098624,4.313680926686068
F2Pool,392953,392854,4,1,0.175,0.3979635661715768,2.073054093711463
F2Pool,392853,392754,5,1,0.074,0.26177089219392025,3.5374444891069783
F2Pool,392753,392654,4,1,0.083,0.27588222124667744,3.3238821836948795
AntPool,392653,392554,4,1,0.175,0.3979635661715768,2.073054093711463
AntPool,392353,392254,3,3,0.631,0.720304796596556,3.2888854984633413
F2Pool,392053,391954,4,3,0.486,0.6432759905359491,3.9081203666647757
F2Pool,391753,391654,5,1,0.029,0.1678064361101809,5.786428831385503
